,first_output_size,second_output_size,final_hidden_size,batch_size,epoch_num,train_accuracy,accuracy_except_0_and_1000,first_number_accuracy,second_number_accuracy
0,512,8,128,64,30,70.24,54.23,7.51,46.72
0,512,8,128,128,10,53.11,55.94,8.09,47.85
0,512,8,128,128,15,62.2,54.63,7.55,47.08
0,512,8,128,128,20,67.04,54.79,7.73,47.07
0,512,8,128,128,25,69.27,54.72,7.6,47.12
0,512,8,128,128,30,70.4,54.4,7.41,46.99
0,512,8,256,32,10,54.53,57.17,8.29,48.88
0,512,8,256,32,15,60.82,56.1,8.14,47.96
0,512,8,256,32,20,64.99,55.8,7.91,47.89
0,512,8,256,32,25,67.25,54.34,7.83,46.51
0,512,8,256,32,30,68.4,54.62,7.64,46.98
0,512,8,256,64,10,56.54,57.02,8.24,48.78
0,512,8,256,64,15,64.41,55.79,7.91,47.88
0,512,8,256,64,20,68.57,55.21,8.15,47.07
0,512,8,256,64,25,70.63,55.6,7.73,47.87
0,512,8,256,64,30,71.66,55.21,7.93,47.28
0,512,8,256,128,10,54.75,56.37,8.24,48.13
0,512,8,256,128,15,63.8,56.19,8.26,47.93
0,512,8,256,128,20,68.68,55.3,7.98,47.32
0,512,8,256,128,25,71.1,54.61,7.69,46.92
0,512,8,256,128,30,72.22,54.28,7.44,46.84
0,512,8,512,32,10,54.32,57.69,8.43,49.26
0,512,8,512,32,15,60.96,57.21,8.34,48.86
0,512,8,512,32,20,65.84,56.2,8.16,48.04
0,512,8,512,32,25,68.71,55.42,7.91,47.51
0,512,8,512,32,30,70.25,55.48,7.79,47.69
0,512,8,512,64,10,55.66,58.05,8.6,49.45
0,512,8,512,64,15,64.31,57.2,8.36,48.84
0,512,8,512,64,20,70.01,56.53,8.05,48.47
0,512,8,512,64,25,72.81,55.75,8.1,47.64
0,512,8,512,64,30,74.21,55.82,8.22,47.6
0,512,8,512,128,10,54.88,57.6,8.6,49.0
0,512,8,512,128,15,64.49,57.18,8.38,48.81
0,512,8,512,128,20,70.47,56.33,8.02,48.31
0,512,8,512,128,25,73.49,56.38,7.95,48.43
0,512,8,512,128,30,74.96,55.51,8.01,47.5
0,512,16,128,32,10,55.59,57.23,8.22,49.02
0,512,16,128,32,15,61.84,55.9,8.19,47.71
0,512,16,128,32,20,65.34,55.94,7.88,48.06
0,512,16,128,32,25,67.3,55.26,7.98,47.28
0,512,16,128,32,30,68.27,54.99,7.85,47.13
0,512,16,128,64,10,56.78,57.03,8.17,48.87
0,512,16,128,64,15,64.54,56.06,7.82,48.24
0,512,16,128,64,20,68.6,55.93,8.09,47.84
